UK Food,US Matches
"Eggs, turkey, whole, raw","Egg, whole, raw(76.92% match #31101010); Egg, white only, raw(63.64% match #31108010); Egg, yolk only, raw(60.47% match #31110010); "
"Eggs, quail, whole, raw","Egg, whole, raw(78.95% match #31101010); Egg, white only, raw(65.12% match #31108010); "
"Eggs, duck, boiled and salted",
"Eggs, chicken, poached","Egg, whole, boiled or poached (61.54% match #31103010); "
"Eggs, chicken, dried",
"Eggs, chicken, boiled","Dasheen, boiled(66.67% match #71962010); "
"Eggs, chicken, yolk, raw","Egg, white only, raw(68.18% match #31108010); Egg, yolk only, raw(65.12% match #31110010); "
"Eggs, chicken, white, raw","Egg, white only, raw(66.67% match #31108010); Turnover, chicken, with gravy(62.96% match #58126310); "
"Eggs, chicken, whole, free-range, raw",
"Eggs, chicken, whole, battery, raw","Egg, whole, raw(61.22% match #31101010); "
"Eggs, chicken, scrambled, without milk","Egg, whole, fried without fat(62.69% match #31105010); Egg, whole, fried with oil(62.5% match #31105030); Egg omelet or scrambled egg, made without fat(60.24% match #32130070); "
"Omelette, curried",
Egg fu yung,
Macaroon,
"Butteroil, unsalted","Butter, stick, unsalted(80.95% match #81101100); Butter, whipped, tub, unsalted(69.39% match #81101110); Butter, whipped, stick, unsalted(66.67% match #81101120); "
"Ghee, palm","Cheese, cream(60.87% match #14301010); "
"Compound cooking fat, polyunsaturated",
Cocoa butter alternative,
Cocoa butter,"Cashew butter(72.0% match #42201000); Cookie, peanut butter(66.67% match #53234000); Honey butter(66.67% match #81322000); "
Sunflower oil,Sunflower oil(100.0% match #82108500); Soybean and sunflower oil(68.42% match #82108250); 
"Vegetable oil, blended, average","Butter-vegetable oil blend(63.16% match #81105500); Vegetable oil, NFS(61.22% match #82101000); "
Cod liver oil,Olive oil(72.73% match #82104000); 
Borage oil,Bagel(66.67% match #51180010); Corn oil(66.67% match #82102000); 
Blackcurrant seed oil,Flaxseed oil(60.61% match #82103500); 
Walnut oil,Walnut oil(100.0% match #82108700); Coconut oil(66.67% match #82101500); 
Soya oil,Soybean oil(84.21% match #82108000); 
Sesame oil,Sesame oil(100.0% match #82107000); Soybean oil(66.67% match #82108000); Sesame dressing(64.0% match #83112990); 
Safflower oil,Safflower oil(100.0% match #82106000); Sunflower oil(84.62% match #82108500); 
Corn oil,Corn oil(100.0% match #82102000); Almond oil(66.67% match #82101300); Cottonseed oil(63.64% match #82103000); 
Wheatgerm oil,Wheat germ oil(96.3% match #82109000); Peanut oil(60.87% match #82105000); Sesame oil(60.87% match #82107000); 
Coconut oil,Coconut oil(100.0% match #82101500); Corn oil(73.68% match #82102000); Peanut oil(66.67% match #82105000); 
Rapeseed oil,Rapeseed oil(100.0% match #82105500); Sesame oil(63.64% match #82107000); 
Cottonseed oil,Cottonseed oil(100.0% match #82103000); Corn oil(63.64% match #82102000); Flaxseed oil(61.54% match #82103500); 
Evening primrose oil,
Grapeseed oil,Rapeseed oil(88.0% match #82105500); Sesame oil(60.87% match #82107000); 
Hazelnut oil,Walnut oil(81.82% match #82108700); 
Olive oil,Olive oil(100.0% match #82104000); 
Palm oil,Almond oil(66.67% match #82101300); Peanut oil(66.67% match #82105000); Sesame oil(66.67% match #82107000); 
Peanut (Groundnut) oil,Peanut oil(62.5% match #82105000); 
"Margarine, catering","Margarine, stick, salted(69.77% match #81102010); Margarine, tub, salted(68.29% match #81102020); Margarine, stick, unsalted(66.67% match #81103030); "
"Fat spread (70-80% fat), not polyunsaturated",
Fat spread (5% fat),
"Fat spread (20-25% fat), not polyunsaturated",
"Fat spread (40% fat), not polyunsaturated",
"Fat spread (70% fat), polyunsaturated",
"Margarine, hard, vegetable fats only","Macaroni, cooked, vegetable, fat added in cooking(61.18% match #56104020); "
"Butter, spreadable",
Butter,"Butter, NFS(70.59% match #81100500); Butterfinger(66.67% match #91718100); "
"Margarine, soya","Margarine, NFS(75.86% match #81102000); Margarine, tub, salted(70.27% match #81102020); Margarine, tub, unsalted(66.67% match #81103060); "
"Fat spread 70% fat, monounsaturated",
"Fat spread (35-40% fat), polyunsaturated",
Blended spread (70-80% fat),
"Fat spread (60% fat), polyunsaturated",
"Margarine, soft, polyunsaturated","Margarine, stick, unsalted(75.86% match #81103030); Margarine, tub, unsalted(75.0% match #81103060); Margarine-like spread, stick, unsalted(62.86% match #81103100); "
"Margarine, soft, not polyunsaturated","Margarine, stick, unsalted(70.97% match #81103030); Margarine, tub, unsalted(70.0% match #81103060); Margarine, whipped, tub, unsalted(63.77% match #81103070); "
"Margarine, hard, animal and vegetable fats","Macaroni, creamed, with vegetables(60.53% match #58147350); "
Dairy spread (40% fat),
"Blended spread, (40% fat)",
"Fat spread (60% fat), with olive oil","Mayonnaise, reduced fat,  with olive oil(65.79% match #83204030); "
"Fat spread (20-25% fat), polyunsaturated",
"Ghee, vegetable","Bread, vegetable(77.42% match #51135000); Shortening, vegetable(72.22% match #81203100); Raw vegetable, NFS(60.61% match #75100250); "
"Suet, vegetable","Bread, vegetable(77.42% match #51135000); Shortening, vegetable(72.22% match #81203100); Raw vegetable, NFS(60.61% match #75100250); "
Lard,Lard(100.0% match #81202000); 
"Ghee, butter","Cashew butter(72.0% match #42201000); Ghee, clarified butter(70.59% match #81204000); Honey butter(66.67% match #81322000); "
Compound cooking fat,
"Dripping, beef",
"Suet, shredded",
"Shrimps, boiled","Shrimp, dried(78.57% match #26319170); Shrimp toast, fried(70.59% match #27250450); Shrimp salad(66.67% match #27450070); "
"Lobster, boiled, weighed with shell",
"Crab, boiled, weighed with shell",
"Lobster, boiled","Lobster bisque(75.86% match #28355250); Lobster, canned(73.33% match #26311180); Lobster salad(71.43% match #27450020); "
"Crab, boiled","Crab, deviled(80.0% match #27150020); Crab, canned(66.67% match #26305180); Peanuts, boiled(66.67% match #42111030); "
"Shrimps, dried","Shrimp, dried(96.3% match #26319170); Shrimp toast, fried(78.79% match #27250450); Cherries, dried(75.86% match #62106000); "
"Shrimps, frozen","Cherries, frozen(77.42% match #63115200); Shrimp toast, fried(70.59% match #27250450); Berries, frozen, NFS(62.86% match #63200200); "
"Shrimps, canned in brine, drained","Sardines, canned in oil(60.71% match #26139180); "
"Shrimps, boiled, weighed with shells","Shrimp, baked or broiled, made with oil(64.0% match #26319120); Shrimp, coated, fried, made with oil(63.89% match #26319140); Shrimp, coated, fried, made with butter(61.33% match #26319141); "
"Crab, canned in brine, drained","Cranberries, dried(62.5% match #62109100); "
"Scampi, in breadcrumbs, frozen, fried in sunflower oil",
"Crayfish, raw","Radish, raw(75.0% match #75125000); Cress, raw(69.57% match #72110100); Cranberries, raw(68.97% match #63207010); "
"Prawns, raw","Currants, raw(75.0% match #63117010); Pear, raw(70.0% match #63137010); Corn, raw(70.0% match #75109600); "
"Prawns, boiled","Peanuts, boiled(82.76% match #42111030); Goat, boiled(69.23% match #23150100); Dasheen, boiled(68.97% match #71962010); "
"Prawns, boiled, weighed with shells",
"Prawns, frozen, raw","Peas, green, raw(74.29% match #75120000); Peas, from frozen, creamed(66.67% match #75417012); Turnips, from frozen, creamed(62.5% match #75418102); "
"Prawns, dried","Currants, dried(78.57% match #62108100); Mango, dried(72.0% match #62114050); Papaya, dried(69.23% match #62114110); "
"Scampi, in breadcrumbs, frozen, fried in blended oil",
"Sardines, raw","Sardines, dried(78.57% match #26139170); Radish, raw(75.0% match #75125000); Nectarine, raw(74.07% match #63131010); "
"Sprats, raw","Oats, raw(80.0% match #57602100); Currants, raw(75.0% match #63117010); Cactus, raw(72.73% match #75105500); "
"Swordfish, grilled","Swordfish, coated, fried(71.43% match #26149140); "
"Swordfish, raw","Radish, raw(72.0% match #75125000); Dewberries, raw(62.07% match #63208000); Spinach, raw(61.54% match #72125100); "
"Sprats, fried, weighed with bones","Shrimp, coated, fried, made with butter(61.11% match #26319141); "
"Sprats, fried","Goat, fried(75.0% match #23150200); Currants, dried(71.43% match #62108100); Sweet potato, fried(68.75% match #73410110); "
"Swordfish, grilled, weighed with bones and skin",
"Sardines, canned in tomato sauce","Sardines, canned in oil(76.36% match #26139180); Carrots in tomato sauce(69.09% match #73111400); Peas, cooked, from canned, with tomato sauce(65.79% match #75417033); "
"Sardines, grilled, weighed with bones",
"Trout, brown, raw","Tomatoes, green, raw(64.86% match #74102000); Tuna, fresh, raw(60.61% match #26153100); "
"Mackerel, canned in brine, drained","Mackerel, coated, fried(66.67% match #26121140); Mackerel, canned(64.0% match #26121180); "
"Mackerel, raw","Mackerel, raw(100.0% match #26121100); Mackerel, canned(75.86% match #26121180); Blackberries, raw(73.33% match #63201010); "
"Trout, rainbow, grilled, weighed with bones and skin",
"Salmon, red, canned in brine, flesh and bones, drained",
"Salmon, red, canned in brine, flesh only, drained","Orange, mandarin, canned or frozen, drained(60.87% match #61122350); "
"Sardines, grilled","Sardines, dried(87.5% match #26139170); Cranberries, dried(62.86% match #62109100); "
"Sardines, canned in brine, drained","Sardines, canned in oil(73.68% match #26139180); "
"Salmon, smoked","Salmon, smoked(100.0% match #26137190); Sturgeon, smoked(73.33% match #26147190); Salmon, canned(71.43% match #26137180); "
"Salmon, pink, canned in brine, flesh and bones, drained",
"Salmon, grilled, weighed with bones and skin",
"Mackerel, grilled, weighed with bones and skin",
"Tuna, canned in brine, drained",
"Salmon, pink, canned in brine, flesh only, drained","Orange, mandarin, canned or frozen, drained(62.37% match #61122350); "
"Whitebait, in flour, fried","Plantain, ripe, rolled in flour, fried(62.5% match #71905120); "
"Sardines, canned in oil, drained","Sardines, canned in oil(83.64% match #26139180); Orange, mandarin, canned or frozen, drained(61.33% match #61122350); "
"Trout, rainbow, raw","Tomatoes, green, raw(61.54% match #74102000); Pepper, Serrano, raw(61.54% match #75121500); "
"Salmon, grilled","Salmon, dried(85.71% match #26137170); Salmon, canned(68.97% match #26137180); Salmon, smoked(68.97% match #26137190); "
"Salmon, raw","Salmon, raw(100.0% match #26137100); Calamondin, raw(76.92% match #61100500); Lemon, raw(76.19% match #61113010); "
"Mackerel, grilled","Mackerel, pickled(82.35% match #26121160); Mackerel, canned(72.73% match #26121180); Mackerel, smoked(72.73% match #26121190); "
"Anchovies, canned in oil, drained","Sardines, canned in oil(64.29% match #26139180); "
"Tuna, canned in oil, drained","Tuna, canned, oil pack(72.0% match #26155180); Tuna, canned, NS as to oil or water pack(61.76% match #26155110); Tuna, canned, water pack(61.54% match #26155190); "
"Tuna, raw","Turnip, raw(80.0% match #75129000); Sugar, raw(73.68% match #91104200); Oats, raw(66.67% match #57602100); "
"Trout, rainbow, grilled",
"Bloater, grilled, weighed with bones and skin",
"Herring, in oatmeal, fried in vegetable oil, weighed with bones",
"Herring, in oatmeal, fried in vegetable oil","Herring, coated, fried(61.54% match #26119140); "
"Herring, grilled, weighed with bones and skin",
"Herring, grilled","Herring, pickled(81.25% match #26119180); Herring, coated, fried(68.42% match #26119140); Herring, dried, salted(68.42% match #26119170); "
"Herring, raw","Herring, raw(100.0% match #26119100); Fig, raw(70.0% match #63119010); Tangerine, raw(69.23% match #61125010); "
"Herrings, dried, salted","Herring, dried, salted(97.78% match #26119170); Peanuts, roasted, salted(68.09% match #42111100); Peanuts, dry roasted, salted(66.67% match #42111200); "
"Eel, raw","Celery, raw(73.68% match #75109000); Pear, raw(70.59% match #63137010); Plum, raw(70.59% match #63143010); "
"Bloater, grilled","Goat, fried(66.67% match #23150200); Algae, dried(64.29% match #75200600); Blintz, fruit-filled(61.11% match #53400300); "
"Bacha, raw","Peach, raw(80.0% match #63135010); Spinach, raw(72.73% match #72125100); Chard, raw(70.0% match #72104100); "
"Trout, brown, steamed","Sturgeon, steamed(63.16% match #26147130); Frog legs, steamed(61.54% match #26203160); "
"Kipper, baked, weighed with bones","Apple, baked, with sugar(63.16% match #63101330); "
"Kipper, baked","Taro, baked(66.67% match #71962040); Peppers, pickled(62.07% match #75511020); "
"Salmon, steamed, weighed with bones and skin",
"Orange roughy, raw","Orange, raw(75.86% match #61119010); Tangelo, raw(66.67% match #61125000); Mango, raw(64.29% match #63129010); "
"Eel, jellied","Eel, smoked(60.87% match #26113190); "
"Mackerel, smoked","Mackerel, smoked(100.0% match #26121190); Mackerel, canned(75.0% match #26121180); Mackerel, raw(68.97% match #26121100); "
"Pilchards, canned in tomato sauce","Carrots in tomato sauce(67.86% match #73111400); Peas, cooked, from canned, with tomato sauce(67.53% match #75417033); "
"Salmon, steamed","Salmon, smoked(82.76% match #26137190); Sturgeon, steamed(75.0% match #26147130); Salmon salad(74.07% match #27450030); "
"Trout, brown, steamed, weighed with bones","Trout, coated, fried, made with butter(60.76% match #26151141); "
"Herrings, dried, salted, weighed with bones and skin",
"Pangas, raw","Mango, raw(76.19% match #63129010); Banana, raw(72.73% match #63107010); Papaya, raw(72.73% match #63133010); "
"Mackerel, canned in tomato sauce","Peas, cooked, from canned, with tomato sauce(71.05% match #75417033); Carrots in tomato sauce(65.45% match #73111400); "
"Mackerel, fried in blended oil, weighed with bones and skin",
"Mackerel, fried in blended oil",
"Jackfish, raw","Radish, raw(75.0% match #75125000); Blackberries, raw(66.67% match #63201010); Cactus, raw(66.67% match #75105500); "
"Herring, canned in tomato sauce","Herring, pickled, in cream sauce(73.02% match #26119160); Carrots in tomato sauce(66.67% match #73111400); Peas, cooked, from canned, with tomato sauce(64.0% match #75417033); "
"Kippers, grilled, weighed with bones",
"Herring, pickled","Herring, pickled(100.0% match #26119180); Mango, pickled(73.33% match #63129020); Celery, pickled(70.97% match #75500510); "
"Kipper, grilled","Apple, fried(66.67% match #63101500); Peppers, pickled(64.52% match #75511020); "
"Hilsa, raw","Clams, raw(70.0% match #26303100); Basil, raw(70.0% match #75109400); Cilantro, raw(69.57% match #75109550); "
"Kipper, raw","Apple, raw(76.19% match #63101000); Pineapple, raw(72.0% match #63141010); Pepper, raw, NFS(66.67% match #75122000); "
"Kipper, boil in bag, boiled",
"Curry, fish and vegetable, Bangladeshi",Cucumber and vegetable namasu(62.69% match #75142000); 
Seafood cocktail,Seafood salad(68.97% match #27450080); Bacardi cocktail(68.75% match #93301020); 
"Seafood pasta, retail",
Fish paste,
Tuna pate,Tuna pot pie(76.19% match #27350070); Guava paste(70.0% match #91407100); 
Fish pie,
"Sesame prawn toasts, takeaway",
"Salmon en croute, retail",
"Curry, prawn, takeaway",
Taramasalata,
"Szechuan prawns with vegetables, takeaway","Chow fun noodles with vegetables, meatless(62.65% match #58135120); "
"Curry, fish, Bangladeshi",
Kedgeree,
"Curry, haddock, Bengali",
"Curry, herring, Bengali",
"Curry, prawn and mushroom",
"Fish cakes, salmon, homemade",
"Pilau, prawn","Plum, raw(76.19% match #63143010); Cilantro, raw(64.0% match #75109550); Peach, raw(63.64% match #63135010); "
"Roe, herring, soft, fried in blended oil",
"Fish fingers, cod, fried in lard",
"Fish cakes, cod, homemade","Salsa, red, homemade(66.67% match #74402200); "
"Fish cakes, grilled","Crayfish, coated, fried(61.9% match #26309140); Pickles, mixed(60.61% match #75511200); "
"Fish fingers, economy, frozen","Fish dinner, NFS (frozen meal)(61.02% match #28150000); "
"Roe, herring, soft, raw","Roe, herring(68.57% match #26209100); Roll, white, soft, toasted(61.22% match #51150100); Pepper, Serrano, raw(60.47% match #75121500); "
"Caviare, bottled in brine, drained",
Crabsticks,Crab cake(63.16% match #27250040); 
"Fish cakes, frozen, raw","Peas, green, raw(61.54% match #75120000); Tomatoes, green, raw(60.47% match #74102000); "
"Fish cakes, fried in blended oil","Catfish, coated, fried, made with oil(60.87% match #26107140); "
"Fish cakes, fried in lard",
"Fish cakes, fried in sunflower oil",
"Roe, cod, hard, raw","Chard, raw(62.07% match #72104100); "
"Roe, cod, hard, coated in batter, fried","Pork, tenderloin, battered, fried(61.11% match #22210450); Shark, coated, fried(61.02% match #26143140); "
"Fish balls, steamed","Frog legs, steamed(70.27% match #26203160); Oysters, steamed(62.86% match #26315130); "
"Roe, cod, hard, fried in blended oil","Cod, coated, fried, made with oil(60.87% match #26109140); "
"Fish fingers, cod, frozen, raw","Fish dinner, NFS (frozen meal)(66.67% match #28150000); "
"Mackerel pate, smoked","Mackerel, smoked(86.49% match #26121190); Mackerel, pickled(68.42% match #26121160); Mackerel, canned(64.86% match #26121180); "
"Fisherman's pie, retail",
"Fish fingers, cod, fried in sunflower oil",
"Fish fingers, cod, fried in blended oil","Whiting, coated, fried, made with oil(60.53% match #26157140); "
"Fish fingers, cod, grilled","Oysters, coated, fried(62.5% match #26315140); "
"Oysters, raw","Oysters, raw(100.0% match #26315100); Oats, raw(76.19% match #57602100); Oyster stew(69.57% match #28355310); "
"Winkles, boiled","Pickles, mixed(68.97% match #75511200); Wine, rice(64.0% match #93401100); "
"Squid, in batter, fried in sunflower oil",
"Squid, in batter, fried in blended oil",
"Squid, frozen, raw","Squid, raw(71.43% match #26213100); "
"Squid, raw","Squid, raw(100.0% match #26213100); Squid, dried(72.73% match #26213170); Sugar, raw(70.0% match #91104200); "
"Scallops, steamed","Octopus, steamed(78.79% match #26205160); Scallops, steamed or boiled(77.27% match #26317130); Scallops, coated, fried(70.0% match #26317140); "
"Oysters, raw, weighed with shells",
"Squid, dried","Squid, dried(100.0% match #26213170); Squid, pickled(76.92% match #26213180); Squid, canned(72.0% match #26213190); "
"Octopus, raw","Cactus, raw(78.26% match #75105500); Oats, raw(76.19% match #57602100); Oysters, raw(66.67% match #26315100); "
"Mussels, canned and bottled, drained",
"Mussels, boiled, weighed with shells",
"Mussels, boiled","Mussels, raw(66.67% match #26313100); Peanuts, boiled(66.67% match #42111030); Dasheen, boiled(66.67% match #71962010); "
"Mussels, raw","Mussels, raw(100.0% match #26313100); Mushrooms, raw(69.23% match #75115000); Mulberries, raw(66.67% match #63217010); "
"Cuttlefish, raw","Mulberries, raw(66.67% match #63217010); Cress, raw(64.0% match #72110100); Cactus, raw(61.54% match #75105500); "
"Cockles, bottled in vinegar, drained",
"Cockles, boiled","Pickles, mixed(68.97% match #75511200); Cornmeal sticks, boiled(68.42% match #56201560); Peanuts, boiled(66.67% match #42111030); "
"Abalone, canned in brine, drained","Abalone, floured or breaded, fried(65.67% match #26301140); "
"Clams, canned in brine, drained","Clams, coated, fried(62.75% match #26303140); "
"Whelks, boiled, weighed with shells",
"Winkles, boiled, weighed with shells",
"Whelks, boiled","Peanuts, boiled(68.97% match #42111030); Dasheen, boiled(68.97% match #71962010); "
"Plaice, goujons, fried in blended oil",
"Plaice, frozen, steamed, weighed with bones and skin",
"Plaice, in batter, fried in blended oil",
"Plaice, in batter, fried in dripping",
"Plaice, in batter, fried in retail blend oil",
"Plaice, in batter, fried in sunflower oil",
"Plaice, in crumbs, fried in blended oil",
"Plaice, in crumbs, fried in lard",
"Plaice, in crumbs, fried in sunflower oil",
"Plaice, in crumbs, frozen, fried in blended oil",
"Plaice, frozen, steamed","Peach, frozen, unsweetened(73.47% match #63135620); Peas, from frozen, creamed(69.39% match #75417012); Blueberries, frozen, unsweetened(65.45% match #63203600); "
"Plaice, goujons, baked",
"Plaice, frozen, raw","Peas, green, raw(68.57% match #75120000); Cabbage, green, raw(63.16% match #75103000); Peas, from frozen, creamed(62.22% match #75417012); "
"Plaice, goujons, fried in lard","Pie, lemon, fried pie(62.75% match #53305750); "
"Plaice, goujons, fried in sunflower oil","Canola, soybean and sunflower oil(61.11% match #82105800); "
"Pollack, Alaskan, raw",
"Pomfret, black, raw","Raspberries, black, raw(66.67% match #63219010); Pepper, poblano, raw(61.54% match #75121400); "
"Pomfret, white, raw","Pomegranate, raw(62.86% match #63145010); Roll, white, hard(61.11% match #51153000); "
"Red snapper, raw","Pineapple, raw(66.67% match #63141010); Pepper, raw, NFS(62.5% match #75122000); "
"Red snapper, fried in blended oil",
"Plaice, in crumbs, frozen, fried in blended oil, weighed with bones and skin",
"Mullet, Red, raw","Mullet, raw(81.48% match #26123100); Mullet, coated, fried(70.27% match #26123140); Mulberries, raw(64.52% match #63217010); "
"Lemon sole, goujons, fried in blended oil",
"Lemon sole, goujons, fried in lard",
"Lemon sole, goujons, fried in sunflower oil",
"Ling, raw","Fig, raw(82.35% match #63119010); Lemon, raw(73.68% match #61113010); Mango, raw(73.68% match #63129010); "
"Monkfish, raw","Radish, raw(66.67% match #75125000); Lemon, raw(60.87% match #61113010); Mango, raw(60.87% match #63129010); "
"Monkfish, grilled",
"Monkfish, grilled, weighed with bones",
"Mullet, Grey, raw","Mullet, raw(78.57% match #26123100); Mulberries, raw(68.75% match #63217010); Celery, raw(64.29% match #75109000); "
"Plaice, frozen, grilled, weighed with bones and skin",
"Mullet, Grey, grilled, weighed with bones and skin",
"Red snapper, fried in blended oil, weighed with bones and skin",
"Mullet, Red, grilled","Mullet, coated, fried(78.05% match #26123140); Mullet, steamed or poached(60.87% match #26123160); "
"Mullet, Red, grilled, weighed with bones and skin",
"Parrot fish, raw","Carrots, raw(78.57% match #73101010); Radish, raw(66.67% match #75125000); Carrots, raw, salad(62.86% match #73101110); "
"Plaice, raw","Peach, raw(76.19% match #63135010); Garlic, raw(72.73% match #75111500); Plum, raw(70.0% match #63143010); "
"Plaice, grilled","Algae, dried(66.67% match #75200600); Pickles, mixed(62.07% match #75511200); "
"Plaice, grilled, weighed with bones and skin",
"Redfish, raw","Radish, raw(86.96% match #75125000); Cress, raw(63.64% match #72110100); Beets, raw(63.64% match #75102500); "
"Plaice, frozen, grilled","Peach, frozen, with sugar(62.5% match #63135630); Peas, from frozen, creamed(61.22% match #75417012); "
"Mullet, Grey, grilled","Mullet, coated, fried(71.43% match #26123140); "
"Whiting, in crumbs, fried in blended oil, weighed with bones and skin",
"Red snapper, fried in sunflower oil",
"Skate, in batter, fried in sunflower oil",Soybean and sunflower oil(61.54% match #82108250); 
"Skate, in batter, fried in sunflower oil, weighed with bones",
"Tilapia, raw","Papaya, raw(69.57% match #63133010); Jicama, raw(69.57% match #75111800); Turnip, raw(69.57% match #75129000); "
"Turbot, raw","Turnip, raw(72.73% match #75129000); Rhubarb, raw(69.57% match #63147010); Carrots, raw(69.57% match #73101010); "
"Turbot, grilled, weighed with bones and skin",
"Whiting, raw","Fig, raw(70.0% match #63119010); Mango, raw(63.64% match #63129010); Nectarine, raw(61.54% match #63131010); "
"Whiting, steamed","Whiting, steamed or poached(74.42% match #26157160); Octopus, steamed(62.5% match #26205160); Oysters, steamed(62.5% match #26315130); "
"Skate, in batter, fried in retail blend oil",
"Whiting, in crumbs, fried in blended oil","Whiting, coated, fried, made with oil(62.34% match #26157140); "
"Skate, in batter, fried in dripping, weighed with bones",
"Whiting, in crumbs, fried in dripping",
"Whiting, in crumbs, fried in dripping, weighed with bones and skin",
"Whiting, in crumbs, fried in sunflower oil",
"Whiting, in crumbs, fried in sunflower oil, weighed with bones and skin",
"Carp, raw","Chard, raw(84.21% match #72104100); Corn, raw(77.78% match #75109600); Sugar, raw(73.68% match #91104200); "
"Katla, raw","Oats, raw(73.68% match #57602100); Kumquat, raw(72.73% match #61110010); Guava, raw(70.0% match #63125010); "
"Coley, steamed","Celery, creamed(75.86% match #75410010); Octopus, steamed(66.67% match #26205160); Oysters, steamed(66.67% match #26315130); "
"Coley, steamed, weighed with bones and skin",
"Whiting, steamed, weighed with bones and skin","Whiting, coated, fried, made with oil(60.98% match #26157140); "
"Rock Salmon/Dogfish, in batter, fried in sunflower oil",
"Red snapper, fried in sunflower oil, weighed with bones and skin",
"Turbot, grilled","Goat, fried(61.54% match #23150200); "
"Rohu, raw","Rhubarb, raw(76.19% match #63147010); Radish, raw(70.0% match #75125000); Kohlrabi, raw(63.64% match #75112000); "
"Rock Salmon/Dogfish, raw","Salmon, raw(62.86% match #26137100); "
"Rock Salmon/Dogfish, in batter, fried in blended oil",
"Rock Salmon/Dogfish, in batter, fried in blended oil, weighed with bones",
"Rock Salmon/Dogfish, in batter, fried in dripping",
"Rock Salmon/Dogfish, in batter, fried in dripping, weighed with bones",
"Skate, in batter, fried in retail blend oil, weighed with bones",
"Rock Salmon/Dogfish, in batter, fried in retail blend oil, weighed with bones",
"Lemon sole, goujons, baked",
"Rock Salmon/Dogfish, in batter, fried in sunflower oil, weighed with bones",
"Shark, raw","Chard, raw(80.0% match #72104100); Sugar, raw(80.0% match #91104200); Garlic, raw(66.67% match #75111500); "
"Skate, raw","Oats, raw(73.68% match #57602100); Seaweed, raw(72.73% match #75127500); Sugar, raw(70.0% match #91104200); "
"Skate, grilled","Shark, coated, fried(64.71% match #26143140); Seaweed, dried(64.29% match #75232000); Algae, dried(61.54% match #75200600); "
"Skate, grilled, weighed with bones",
"Skate, in batter, fried in blended oil",
"Skate, in batter, fried in blended oil, weighed with bones",
"Skate, in batter, fried in dripping",
"Rock Salmon/Dogfish, in batter, fried in retail blend oil",
"Coley, frozen, raw","Corn, raw(66.67% match #75109600); Peas, green, raw(64.71% match #75120000); Celery, raw(62.07% match #75109000); "
"Cod, in batter, fried in dripping",
"Cod, in batter, fried in retail blend oil",
"Cod, in batter, fried in sunflower oil","Canola, soybean and sunflower oil(61.97% match #82105800); Soybean and sunflower oil(60.32% match #82108250); "
"Cod, coated in batter, frozen, baked","Carrots, cooked, from frozen, glazed(61.11% match #73102242); Carrots, cooked, from frozen, creamed(60.27% match #73102232); "
"Cod, coated in batter, frozen, baked, weighed with bones","Cod, coated, fried, made with butter(60.87% match #26109141); "
"Cod, coated in crumbs, frozen, fried in blended oil",
"Cod, smoked, raw","Cod, smoked(81.48% match #26109190); Flounder, smoked(62.5% match #26115190); Trout, smoked(62.07% match #26151190); "
"Cod, smoked, poached","Cod, steamed or poached(79.07% match #26109160); Cod, smoked(70.97% match #26109190); Croaker, steamed or poached(68.09% match #26111160); "
"Flying fish, raw","Fig, raw(66.67% match #63119010); "
"Coley, raw","Celery, raw(85.71% match #75109000); Corn, raw(73.68% match #75109600); Parsley, raw(72.73% match #75119000); "
"Cod, frozen, raw","Corn, raw(72.0% match #75109600); Cabbage, green, raw(62.86% match #75103000); Peas, green, raw(62.5% match #75120000); "
"Conger eel, raw","Tangerine, raw(68.97% match #61125010); Youngberries, raw(68.75% match #63224000); Corn, raw(66.67% match #75109600); "
"Conger eel, grilled","Corned beef, pressed(61.54% match #25231150); "
"Conger eel, grilled, weighed with bones and skin",
"Dab, raw","Oats, raw(70.59% match #57602100); Pear, raw(70.59% match #63137010); Rhubarb, raw(70.0% match #63147010); "
"Dover sole, raw","Parsley, raw(66.67% match #75119000); Chives, raw(61.54% match #75109500); "
"Flounder, raw","Flounder, raw(100.0% match #26115000); Flounder, smoked(68.97% match #26115190); Salmon, raw(66.67% match #26137100); "
"Flounder, steamed","Flounder, smoked(84.85% match #26115190); Frog legs, steamed(68.57% match #26203160); Octopus, steamed(66.67% match #26205160); "
"Flounder, steamed, weighed with bones and skin","Flounder, coated, fried, made with oil(61.9% match #26115140); "
"Cod, in parsley sauce, frozen, boiled",
"Chinese salted fish, steamed",
"Cod, dried, salted, boiled","Cod, dried, salted(81.82% match #26109170); Cod, dried, salted, salt removed in water(68.66% match #26109180); Octopus, dried, boiled(66.67% match #26205180); "
"White fish, dried, salted","Cod, dried, salted(69.77% match #26109170); Herring, dried, salted(68.09% match #26119170); White potato, chips, unsalted(62.96% match #71202000); "
"Lemon sole, steamed, weighed with bones and skin",
"Ayr, raw","Pear, raw(70.59% match #63137010); Corn, raw(70.59% match #75109600); Chard, raw(66.67% match #72104100); "
"Bass, Sea, raw","Beans, lima, raw(73.33% match #75102000); Basil, raw(66.67% match #75109400); Peas, green, raw(66.67% match #75120000); "
"Bele, raw","Beets, raw(84.21% match #75102500); Celery, raw(80.0% match #75109000); Leek, raw(77.78% match #75112500); "
Bombay duck,
"Catfish, raw","Cactus, raw(78.26% match #75105500); Radish, raw(78.26% match #75125000); Chives, raw(69.57% match #75109500); "
