UKFoodCode	FoodName
16-163	"Whiting, in crumbs, fried in blended oil, weighed with bones and skin"
16-129	"Red snapper, fried in sunflower oil"
16-152	"Skate, in batter, fried in sunflower oil"
16-153	"Skate, in batter, fried in sunflower oil, weighed with bones"
16-154	"Tilapia, raw"
16-155	"Turbot, raw"
16-157	"Turbot, grilled, weighed with bones and skin"
16-159	"Whiting, raw"
16-160	"Whiting, steamed"
16-150	"Skate, in batter, fried in retail blend oil"
16-162	"Whiting, in crumbs, fried in blended oil"
16-149	"Skate, in batter, fried in dripping, weighed with bones"
16-164	"Whiting, in crumbs, fried in dripping"
16-165	"Whiting, in crumbs, fried in dripping, weighed with bones and skin"
16-166	"Whiting, in crumbs, fried in sunflower oil"
16-167	"Whiting, in crumbs, fried in sunflower oil, weighed with bones and skin"
16-172	"Carp, raw"
16-186	"Katla, raw"
16-340	"Coley, steamed"
16-341	"Coley, steamed, weighed with bones and skin"
16-161	"Whiting, steamed, weighed with bones and skin"
16-140	"Rock Salmon/Dogfish, in batter, fried in sunflower oil"
16-130	"Red snapper, fried in sunflower oil, weighed with bones and skin"
16-156	"Turbot, grilled"
16-132	"Rohu, raw"
16-133	"Rock Salmon/Dogfish, raw"
16-134	"Rock Salmon/Dogfish, in batter, fried in blended oil"
16-135	"Rock Salmon/Dogfish, in batter, fried in blended oil, weighed with bones"
16-136	"Rock Salmon/Dogfish, in batter, fried in dripping"
16-137	"Rock Salmon/Dogfish, in batter, fried in dripping, weighed with bones"
16-151	"Skate, in batter, fried in retail blend oil, weighed with bones"
16-139	"Rock Salmon/Dogfish, in batter, fried in retail blend oil, weighed with bones"
16-087	"Lemon sole, goujons, baked"
16-141	"Rock Salmon/Dogfish, in batter, fried in sunflower oil, weighed with bones"
16-142	"Shark, raw"
16-143	"Skate, raw"
16-144	"Skate, grilled"
16-145	"Skate, grilled, weighed with bones"
16-146	"Skate, in batter, fried in blended oil"
16-147	"Skate, in batter, fried in blended oil, weighed with bones"
16-148	"Skate, in batter, fried in dripping"
16-138	"Rock Salmon/Dogfish, in batter, fried in retail blend oil"
16-034	"Coley, frozen, raw"
16-022	"Cod, in batter, fried in dripping"
16-023	"Cod, in batter, fried in retail blend oil"
16-024	"Cod, in batter, fried in sunflower oil"
16-025	"Cod, coated in batter, frozen, baked"
16-026	"Cod, coated in batter, frozen, baked, weighed with bones"
16-027	"Cod, coated in crumbs, frozen, fried in blended oil"
16-028	"Cod, smoked, raw"
16-029	"Cod, smoked, poached"
16-043	"Flying fish, raw"
16-031	"Coley, raw"
16-019	"Cod, frozen, raw"
16-035	"Conger eel, raw"
16-036	"Conger eel, grilled"
16-037	"Conger eel, grilled, weighed with bones and skin"
16-038	"Dab, raw"
16-039	"Dover sole, raw"
16-040	"Flounder, raw"
16-041	"Flounder, steamed"
16-042	"Flounder, steamed, weighed with bones and skin"
16-030	"Cod, in parsley sauce, frozen, boiled"
16-010	"Chinese salted fish, steamed"
50-572	"Cod, dried, salted, boiled"
16-158	"White fish, dried, salted"
16-086	"Lemon sole, steamed, weighed with bones and skin"
16-001	"Ayr, raw"
16-002	"Bass, Sea, raw"
16-003	"Bele, raw"
16-005	Bombay duck
16-007	"Catfish, raw"
16-021	"Cod, in batter, fried in blended oil"
16-009	"Catfish, steamed, weighed with bones"
16-020	"Cod, frozen, grilled"
16-011	"Chital, raw"
16-012	"Cod, raw"
16-013	"Cod, baked"
16-014	"Cod, baked, weighed with bones and skin"
16-015	"Cod, poached"
16-016	"Cod, poached, weighed with bones and skin"
16-017	"Cod, steamed"
16-018	"Cod, steamed, weighed with bones and skin"
16-006	"Bream, Sea, raw"
16-008	"Catfish, steamed"
16-077	"Halibut, poached, weighed with bones and skin"
16-067	"Haddock, smoked, poached, weighed with bones and skin"
16-068	"Haddock, smoked, steamed"
16-069	"Haddock, smoked, steamed, weighed with bones and skin"
16-070	"Hake, raw"
16-071	"Hake, grilled"
16-072	"Hake, grilled, weighed with bones and skin"
16-073	"Halibut, raw"
16-074	"Halibut, grilled"
16-066	"Haddock, smoked, poached"
16-076	"Halibut, poached"
16-081	"Kalabasu, raw"
16-078	"Hoki, raw"
16-079	"Hoki, grilled"
16-080	"John Dory, raw"
16-082	"Lemon sole, raw"
16-085	"Lemon sole, steamed"
16-044	"Haddock, raw"
16-004	"Boal, raw"
16-083	"Lemon sole, grilled"
16-084	"Lemon sole, grilled, weighed with bones and skin"
16-075	"Halibut, grilled, weighed with bones and skin"
16-055	"Haddock, in batter, fried in sunflower oil"
16-065	"Haddock, smoked, raw"
16-050	"Haddock, steamed, weighed with bones and skin"
16-049	"Haddock, steamed"
16-051	"Haddock, frozen, raw"
16-048	"Haddock, poached, weighed with bones"
16-052	"Haddock, in batter, fried in blended oil"
16-047	"Haddock, poached"
16-054	"Haddock, in batter, fried in retail blend oil"
16-056	"Haddock, in flour, fried in blended oil"
16-046	"Haddock, grilled, weighed with bones"
16-064	"Haddock, coated in crumbs, frozen, fried in blended oil, weighed with bones and "
16-063	"Haddock, coated in crumbs, frozen, fried in blended oil"
16-053	"Haddock, in batter, fried in dripping"
16-061	"Haddock, in flour, fried in sunflower oil, weighed with bones and skin"
16-057	"Haddock, in flour, fried in blended oil, weighed with bones and skin"
16-060	"Haddock, in flour, fried in sunflower oil"
16-045	"Haddock, grilled"
16-059	"Haddock, in flour, fried in dripping, weighed with bones and skin"
16-058	"Haddock, in flour, fried in dripping"
16-062	"Haddock, coated in crumbs, frozen, raw"
14-282	"Orange juice, freshly squeezed, weighed as whole fruit"
14-276	"Grapefruit juice concentrate, unsweetened"
14-274	Grape juice concentrate
14-288	"Pomegranate juice, fresh"
14-285	Passion fruit juice
14-280	"Mango juice, canned"
14-279	"Lime juice, fresh"
14-278	"Lemon juice, fresh, weighed as whole fruit"
14-289	Prune juice
14-281	"Orange juice, freshly squeezed"
14-196	"Pears, dried"
14-204	"Pears, William, raw, weighed with core"
14-203	"Pears, William, raw"
14-192	"Pears, average, raw, peeled"
14-202	"Pears, Conference, raw, weighed with core"
14-193	"Pears, average, raw, peeled, weighed with skin and core"
14-194	"Pears, average, stewed with sugar"
14-201	"Pears, Conference, raw"
14-197	"Pears, canned in juice"
14-200	"Pears, Comice, raw, weighed with core"
14-199	"Pears, Comice, raw"
14-198	"Pears, canned in syrup"
14-205	"Pears, Nashi, raw"
14-195	"Pears, average, stewed without sugar"
14-220	"Plums, Victoria, raw"
14-228	Pomelo
14-227	"Pomegranate, weighed with skin"
14-226	Pomegranate
14-225	"Plums, yellow, raw, weighed with stones"
14-154	"Melon, average, weighed whole"
14-191	"Pears, average, raw, weighed with core"
14-223	"Plums, Victoria, stewed without sugar, weighed with stones"
14-222	"Plums, Victoria, stewed without sugar"
14-206	"Pears, Nashi, weighed with core"
14-317	"Plums, average, stewed without sugar, weighed with stones"
14-212	"Pineapple, canned in syrup"
14-211	"Pineapple, canned in juice"
14-210	"Pineapple, dried"
14-209	"Pineapple, raw, weighed with skin and top"
14-208	"Pineapple, raw"
14-207	Phyalis
14-224	"Plums, yellow, raw"
14-151	Mangosteen
14-159	"Melon, Galia"
14-163	"Melon, Honeydew, weighed whole"
14-162	"Melon, Honeydew"
14-161	"Melon, Galia, weighed with skin"
14-160	"Melon, Galia, weighed whole"
14-155	"Melon, average, weighed with skin"
14-167	Mixed peel
14-152	Medlars
14-168	"Mulberries, raw"
14-150	"Mangoes, ripe, canned in syrup"
14-147	"Mandarin oranges, canned in syrup"
14-229	"Pomelo, weighed with peel and pips"
14-297	Nectarines
14-146	"Mandarin oranges, canned in juice"
14-145	Mammie apple
14-153	"Melon, average"
14-179	"Passion fruit, weighed with skin"
14-189	"Peaches, canned in syrup"
14-188	"Peaches, canned in juice"
14-187	"Peaches, dried, stewed without sugar"
14-186	"Peaches, dried, stewed with sugar"
14-185	"Peaches, dried"
14-182	"Paw-paw, canned in juice"
14-164	"Melon, Honeydew, weighed with skin"
14-180	"Paw-paw, raw"
14-190	"Pears, average, raw"
14-178	Passion fruit
14-177	Ortaniques
14-174	"Olives, in brine, weighed with stones"
14-173	"Olives, in brine"
14-170	"Mulberries, stewed without sugar"
14-169	"Mulberries, stewed with sugar"
14-181	"Paw-paw, raw, weighed with skin and pips"
14-290	"Apricots, canned in syrup"
14-264	Tamarillos
14-299	"Peaches, raw"
14-298	Oranges
14-296	"Melon, watermelon"
14-294	"Mangoes, ripe, raw"
14-293	Kiwi fruit
14-302	"Apricots, canned in juice"
14-291	Clementines
14-303	"Fruit salad, homemade"
14-270	"Whitecurrants, stewed without sugar"
14-269	"Whitecurrants, stewed with sugar"
14-268	"Whitecurrants, raw"
14-267	"Tangerines, weighed with peel and pips"
14-266	Tangerines
14-295	"Melon, Canteloupe-type"
14-292	"Grapefruit, raw"
14-310	"Nectarines, weighed with stones"
14-219	"Plums, canned in syrup"
14-144	"Lychees, canned in syrup"
14-316	"Plums, average, stewed with sugar, weighed with stones"
14-315	"Plums, average, stewed without sugar"
14-314	"Plums, average, stewed with sugar"
14-313	"Plums, average, raw, weighed with stones"
14-300	"Plums, average, raw"
14-311	"Oranges, weighed with peel and pips"
14-263	Sultanas
14-309	"Melon, watermelon, weighed whole"
14-308	"Melon, Canteloupe-type, weighed with skin"
14-307	"Melon, Canteloupe-type, weighed whole"
14-306	"Mangoes, ripe, raw, weighed with skin and stone"
14-305	"Kiwi fruit, weighed with skin"
14-304	"Grapefruit, raw, weighed with peel and pips"
14-312	"Peaches, raw, weighed with stone"
14-237	"Prunes, canned in juice"
14-265	Tamarind
14-244	"Raspberries, raw"
14-243	Rambutan
14-242	Raisins
14-241	Quinces
14-240	"Prunes, ready-to-eat, weighed with stones"
14-246	"Raspberries, stewed without sugar"
14-238	"Prunes, canned in syrup"
14-247	"Raspberries, frozen"
14-236	"Prunes, stewed without sugar, weighed with stones"
14-235	"Prunes, stewed without sugar"
14-234	"Prunes, stewed with sugar, weighed with stones"
14-233	"Prunes, stewed with sugar"
14-232	"Prunes, weighed with stones"
14-231	Prunes
14-239	"Prunes, ready-to-eat"
14-254	"Rhubarb, stewed without sugar"
14-262	"Strawberries, canned in syrup"
14-261	"Strawberries, frozen"
14-260	"Strawberries, raw"
14-259	Sharon fruit
14-258	"Satsumas, weighed with peel"
14-257	Satsumas
14-245	"Raspberries, stewed with sugar"
14-255	"Rhubarb, canned in syrup"
14-230	Prickly pears
14-253	"Rhubarb, stewed with sugar"
14-252	"Rhubarb, raw"
14-251	"Redcurrants, stewed without sugar"
14-250	"Redcurrants, stewed with sugar"
14-249	"Redcurrants, raw"
14-248	"Raspberries, canned in syrup"
14-256	Sapodilla
14-043	Babaco
14-036	"Apricots, ready-to-eat"
14-050	"Blackberries, stewed without sugar"
14-049	"Blackberries, stewed with sugar"
14-048	"Blackberries, raw"
14-047	Bilberries
14-046	"Bananas, weighed with skin"
14-052	"Blackberry and apple, stewed without sugar"
14-044	Banana chips
14-053	"Blackcurrants, raw"
14-042	"Avocado, Hass, weighed with skin and stone"
14-041	"Avocado, Hass"
14-040	"Avocado, Fuerte, weighed with skin and stone"
14-039	"Avocado, Fuerte"
14-038	"Avocado, average, weighed with skin and stone"
14-069	"Cherries, West Indian"
14-045	Bananas
14-060	Cashew fruit
14-068	"Cherries, glace"
14-067	"Cherries, canned in syrup"
14-066	"Cherries, stewed without sugar, weighed with stones"
14-065	"Cherries, stewed without sugar"
14-064	"Cherries, stewed with sugar, weighed with stones"
14-063	"Cherries, stewed with sugar"
14-051	"Blackberry and apple, stewed with sugar"
14-061	"Cherries, raw"
14-033	"Apricots, dried, stewed without sugar"
14-059	Carambola
14-058	"Boysenberries, canned in syrup"
14-057	"Blackcurrants, canned in syrup"
14-056	"Blackcurrants, canned in juice"
14-055	"Blackcurrants, stewed without sugar"
14-054	"Blackcurrants, stewed with sugar"
14-062	"Cherries, raw, weighed with stones"
14-006	"Apples, cooking, baked with sugar, flesh and skin"
14-037	"Avocado, average"
14-013	"Apples, eating, average, raw, weighed with core"
14-012	"Apples, eating, average, raw"
14-011	"Apples, cooking, baked without sugar, weighed with skin"
14-010	"Apples, cooking, baked without sugar, flesh only"
14-009	"Apples, cooking, baked without sugar, flesh and skin"
14-015	"Apples, eating, average, raw, peeled, weighed with skin and core"
14-007	"Apples, cooking, baked with sugar, flesh only"
14-016	"Apples, eating, dried"
14-005	"Apples, cooking, stewed without sugar"
14-004	"Apples, cooking, stewed with sugar"
14-003	"Apples, cooking, weighed with skin and core"
14-002	"Apples, cooking, raw, peeled"
14-001	Amla
14-143	"Lychees, raw, weighed with skin and stone"
14-008	"Apples, cooking, baked with sugar, weighed with skin"
14-023	"Apples, eating, red dessert, raw"
14-032	"Apricots, dried, stewed with sugar"
14-031	"Apricots, dried"
14-030	"Apricots, stewed without sugar, weighed with stones"
14-029	"Apricots, stewed without sugar"
14-028	"Apricots, stewed with sugar, weighed with stones"
14-026	"Apricots, raw, weighed with stones"
14-014	"Apples, eating, average, raw, peeled"
14-024	"Apples, eating, red dessert, raw, weighed with core"
14-027	"Apricots, stewed with sugar"
14-022	"Apples, eating, Granny Smith, raw, weighed with core"
14-021	"Apples, eating, Granny Smith, raw"
14-020	"Apples, eating, Golden Delicious, raw, weighed with core"
14-019	"Apples, eating, Golden Delicious, raw"
14-018	"Apples, eating, Cox's Pippin, raw, weighed with core"
14-017	"Apples, eating, Cox's Pippin, raw"
14-221	"Plums, Victoria, raw, weighed with stones"
14-114	"Greengages, stewed with sugar, weighed with stones"
14-108	"Grapefruit, canned in syrup"
14-122	Jujube
14-120	"Guava, canned in syrup"
14-119	"Guava, raw, weighed with skin and pips"
14-118	"Guava, raw"
14-117	Grenadillas
14-127	Lemon peel
14-115	"Greengages, stewed without sugar"
14-128	"Lemons, whole, without pips"
14-142	"Lychees, raw"
14-113	"Greengages, stewed with sugar"
14-112	"Greengages, raw, weighed with stones"
14-111	"Greengages, raw"
14-110	"Grapes, weighed with pips"
14-109	"Grapes, average"
14-116	"Greengages, stewed without sugar, weighed with stones"
14-135	"Loganberries, stewed without sugar"
14-025	"Apricots, raw"
14-070	Cherry pie filling
14-141	"Loquats, canned in syrup"
14-140	"Loquats, raw"
14-139	"Longans, canned in syrup, whole contents"
14-138	"Longans, canned in syrup, drained"
14-126	"Kumquats, canned in syrup"
14-136	"Loganberries, canned in juice"
14-121	Jambu fruit
14-134	"Loganberries, stewed with sugar"
14-133	"Loganberries, raw"
14-132	"Limes, peeled, weighed with peel and pips"
14-131	"Limes, peeled"
14-130	"Lemons, peeled, raw, weighed with peel and pips"
14-129	"Lemons, peeled"
14-137	"Longans, dried"
14-078	"Damsons, raw, weighed with stones"
14-086	"Dates, dried, weighed with stones"
14-085	"Dates, dried"
14-084	"Dates, raw, weighed with stones"
14-083	"Dates, raw"
14-082	"Damsons, stewed without sugar, weighed with stones"
14-081	"Damsons, stewed without sugar"
14-087	Dried mixed fruit
14-079	"Damsons, stewed with sugar"
14-075	Custard apple/Bullock's heart
14-077	"Damsons, raw"
14-076	Custard apple/Sugar apple
14-107	"Grapefruit, canned in juice"
14-074	Currants
14-125	"Kumquats, raw"
14-073	Cranberries
14-072	"Clementines, weighed with peel and pips"
14-080	"Damsons, stewed with sugar, weighed with stones"
14-103	"Gooseberries, dessert, raw"
14-104	"Gooseberries, dessert, canned in syrup"
14-088	Durian
14-102	"Gooseberries, cooking, stewed without sugar"
14-101	"Gooseberries, cooking, stewed with sugar"
14-100	"Gooseberries, cooking, raw"
14-098	Fruit pie filling
14-097	"Fruit cocktail, canned in syrup"
14-096	"Fruit cocktail, canned in juice"
14-094	"Figs, dried, stewed without sugar"
14-093	"Figs, dried, stewed with sugar"
14-092	"Figs, dried"
14-091	"Figs, raw"
14-090	Feijoa
14-095	"Figs, ready-to-eat"
14-089	Elderberries
13-837	"Mint, dried"
13-846	"Pepper, black"
13-845	"Parsley, dried"
13-844	"Parsley, fresh"
13-843	Paprika
13-842	"Oregano, dried, ground"
13-841	"Oregano, fresh"
13-847	"Pepper, cayenne, ground"
13-839	Mustard seeds
13-853	"Sage, fresh"
13-836	"Mint, fresh"
13-835	"Marjoram, dried"
13-834	"Mace, ground"
13-833	Liquorice powder
13-840	"Nutmeg, ground"
13-832	"Ginger, ground"
13-807	"Betel leaves, fresh"
13-871	"Mixed herbs, dried"
13-861	"Turmeric, ground"
13-860	"Thyme, dried, ground"
13-859	"Thyme, fresh"
13-851	"Rosemary, dried"
13-857	"Tarragon, fresh"
13-848	"Pepper, white"
13-872	Mixed spices
13-855	"Tamarind leaves, fresh"
13-854	"Sage, dried, ground"
13-852	Saffron
13-856	Tamarind pulp
13-850	"Rosemary, fresh"
13-858	"Tarragon, dried, ground"
13-805	"Basil, dried, ground"
13-801	"Allspice, ground"
13-802	Anise seeds
13-809	"Cardamom, ground"
13-804	"Basil, fresh"
13-831	"Ginger, fresh"
13-806	"Bay leaf, dried"
13-808	Caraway seeds
13-810	Celery seeds
13-811	"Chervil, dried"
13-812	Chilli powder
13-813	Chinese 5 spice
13-814	"Chives, fresh"
13-815	"Cinnamon, ground"
13-816	"Cloves, dried"
13-827	Fennel seeds
13-803	Asafoetida
13-817	"Coriander leaves, fresh"
13-830	Garlic powder
13-828	Fenugreek seeds
13-826	Dill seeds
13-825	"Dill, dried"
13-824	"Dill, fresh"
13-823	"Curry powder, mixed flavours"
13-822	Curry powder
13-821	"Curry leaves, fresh"
13-820	Cumin seeds
13-819	Coriander seeds
13-818	"Coriander leaves, dried"
13-829	Garam masala
17-383	"Baby meal, fish based, canned/bottled"
17-388	"Baby, pour over sauce, vegetable based, canned/bottled"
17-393	"Baby desset, yogurt, fruit, canned/bottled"
17-392	"Baby desserts, fruit and milk based, canned/bottled"
17-391	"Baby desserts, fruit, canned/bottled"
17-390	"Baby desserts, fromage frais, fruit, canned/bottled"
17-389	"Baby desserts, cereal and milk based, canned/bottled"
17-387	"Baby, pour over sauce, meat based, canned/bottled"
17-386	"Baby meal, vegetable based, canned/bottled"
17-384	"Baby meal, pasta based meal, canned/bottled"
17-382	"Baby meal, egg/cheese based, canned/bottled"
17-381	"Baby meal, meat based, canned/bottled"
17-385	"Baby meal, poultry based, canned/bottled"
17-409	"Baby dessets, yogurt, fruit, instant/granulated/ reconstituted"
17-408	"Baby desserts, yogurt, fruit, instant/granulated"
17-407	"Baby dessert, fruit, instant/granulated, reconstituted"
17-406	"Baby desserts, fruit, instant/granulated"
17-405	"Baby dessets, cereal and milk based, instant/granulated reconstituted"
17-404	"Baby dessert, cereal and milk based, instant/granulated"
17-403	"Baby pour over sauce, vegetable based, instant/granulated, reconstituted"
17-400	"Baby meal, vegetable based, instant/granulated"
17-399	"Baby meal, poultry based, instant/granulated, reconstituted"
17-398	"Baby meal, poultry based, instant/granulated"
17-397	"Baby meal, egg/cheese based, instant/granulated, reconstituted"
17-396	"Baby meal, egg/cheese based, instant/granulated"
17-395	"Baby meal, meat based, instant granulated, reconstituted"
17-394	"Baby meal, meat based, instant/granulated"
17-401	"Baby meal, vegetable based, instant/granulated, reconstituted"
17-402	"Baby, pour over sauce, vegetable based, instant/granulated"
19-308	Ham
19-012	"Bacon rashers, back, 'tendersweet', grilled"
19-013	"Bacon rashers, middle, raw"
19-014	"Bacon rashers, middle, fried"
19-015	"Bacon rashers, middle, grilled"
19-016	"Bacon rashers, streaky, raw"
19-018	"Bacon rashers, streaky, grilled"
19-020	"Ham, gammon joint, raw"
19-011	"Bacon rashers, back, sweetcure, grilled"
19-022	"Ham, gammon rashers, grilled"
19-017	"Bacon rashers, streaky, fried"
19-021	"Ham, gammon joint, boiled"
19-002	"Bacon rashers, back, dry-fried"
50-338	"Bacon, fat only, raw, average"
19-019	"Bacon loin steaks, grilled"
19-010	"Bacon rashers, back, smoked, grilled"
19-001	"Bacon rashers, back, raw"
19-003	"Bacon rashers, back, grilled"
19-004	"Bacon rashers, back, grilled crispy"
19-007	"Bacon rashers, back, fat trimmed, raw"
19-005	"Bacon rashers, back, microwaved"
19-006	"Bacon rashers, back, dry-cured, grilled"
19-009	"Bacon rashers, back, reduced salt, grilled"
19-008	"Bacon rashers, back, fat trimmed, grilled"
50-339	"Bacon, fat only, cooked, average"
18-067	"Beef, sirloin steak, fried, lean and fat"
18-068	"Beef, sirloin steak, grilled rare, lean"
18-069	"Beef, sirloin steak, grilled rare, lean and fat"
18-070	"Beef, sirloin steak, grilled medium-rare, lean"
18-073	"Beef, sirloin steak, grilled well-done, lean and fat"
18-071	"Beef, sirloin steak, grilled medium-rare, lean and fat"
18-066	"Beef, sirloin steak, fried, lean"
18-058	"Beef, silverside, salted, raw, lean"
18-072	"Beef, sirloin steak, grilled well-done, lean"
18-054	"Beef, silverside, raw, lean"
18-065	"Beef, sirloin steak, raw, lean and fat"
18-064	"Beef, sirloin steak, raw, lean"
18-063	"Beef, sirloin joint, roasted, lean and fat"
18-062	"Beef, sirloin joint, roasted, lean"
18-061	"Beef, silverside, salted, boiled, lean and fat"
18-059	"Beef, silverside, salted, raw, lean and fat"
18-057	"Beef, silverside, pot-roasted, lean and fat"
18-056	"Beef, silverside, pot-roasted, lean"
18-055	"Beef, silverside, raw, lean and fat"
18-074	"Beef, sirloin steak, from steakhouse, lean"
18-468	"Beef, average, trimmed lean, raw"
18-060	"Beef, silverside, salted, boiled, lean"
18-087	"Beef, topside, microwaved, lean and fat"
18-474	"Beef, rump steak, lean only, grilled"
18-473	"Beef, rump steak, lean only, fried"
18-472	"Beef, rump steak, lean and fat, fried"
18-471	"Beef, rump steak, lean and fat, raw"
18-470	"Beef, mince, stewed"
18-469	"Beef, mince, raw"
18-081	"Beef, stewing steak, stewed, lean and fat"
18-091	"Beef, topside, roasted well-done, lean and fat"
18-053	"Beef, rump steak, strips, stir-fried, lean and fat"
18-090	"Beef, topside, roasted well-done, lean"
18-088	"Beef, topside, roasted medium-rare, lean"
18-075	"Beef, sirloin steak, from steakhouse, lean and fat"
18-086	"Beef, topside, microwaved, lean"
18-085	"Beef, topside, raw, lean and fat"
18-084	"Beef, topside, raw, lean"
18-082	"Beef, stewing steak, frozen, stewed, lean"
18-080	"Beef, stewing steak, stewed, lean"
18-079	"Beef, stewing steak, pressure cooked, lean and fat"
18-078	"Beef, stewing steak, pressure cooked, lean"
18-077	"Beef, stewing steak, raw, lean and fat"
18-076	"Beef, stewing steak, raw, lean"
18-089	"Beef, topside, roasted medium-rare, lean and fat"
18-010	"Beef, braising steak, slow cooked, lean"
18-021	"Beef, fillet steak, grilled, lean and fat"
18-020	"Beef, fillet steak, grilled, lean"
18-019	"Beef, fillet steak, fried, lean and fat"
18-018	"Beef, fillet steak, fried, lean"
18-017	"Beef, fillet steak, raw, lean and fat"
18-016	"Beef, fillet steak, raw, lean"
18-015	"Beef, brisket, boiled, lean and fat"
18-014	"Beef, brisket, boiled, lean"
18-013	"Beef, brisket, raw, lean and fat"
18-022	"Beef, fillet steak, from steakhouse, lean"
18-011	"Beef, braising steak, slow cooked, lean and fat"
18-008	"Beef, braising steak, braised, lean"
18-009	"Beef, braising steak, braised, lean and fat"
18-007	"Beef, braising steak, raw, lean and fat"
18-005	"Beef, average, fat, cooked"
18-004	"Beef, average, extra trimmed fat, raw"
18-003	"Beef, average, trimmed fat, raw"
18-002	"Beef, average, extra trimmed lean, raw"
50-377	"Beef, salted, dried, raw"
18-052	"Beef, rump steak, strips, stir-fried, lean"
18-083	"Beef, stewing steak, frozen, stewed, lean and fat"
18-012	"Beef, brisket, raw, lean"
18-041	"Beef, mince, extra lean, stewed"
18-050	"Beef, rump steak, from steakhouse, lean"
18-051	"Beef, rump steak, from steakhouse, lean and fat"
18-006	"Beef, braising steak, raw, lean"
18-023	"Beef, fillet steak, from steakhouse, lean and fat"
18-046	"Beef, rump steak, barbecued, lean and fat"
18-045	"Beef, rump steak, barbecued, lean"
18-042	"Beef, mince patties, barbecued"
18-040	"Beef, mince, extra lean, raw"
18-039	"Beef, mince, frozen, stewed"
18-037	"Beef, mince, microwaved"
18-035	"Beef, fore-rib/rib-roast, roasted, lean and fat, weighed with bone"
18-029	"Beef, fore-rib/rib-roast, raw, lean and fat"
18-026	"Beef, flank, pot-roasted, lean"
18-043	"Beef, rump steak, raw, lean"
18-024	"Beef, flank, raw, lean"
18-034	"Beef, fore-rib/rib-roast, roasted, lean and fat"
18-025	"Beef, flank, raw, lean and fat"
18-028	"Beef, fore-rib/rib-roast, raw, lean"
18-027	"Beef, flank, pot-roasted, lean and fat"
18-030	"Beef, fore-rib/rib-roast, microwaved, lean"
18-031	"Beef, fore-rib/rib-roast, microwaved, lean and fat"
18-032	"Beef, fore-rib/rib-roast, microwaved, lean and fat, weighed with bone"
18-033	"Beef, fore-rib/rib-roast, roasted, lean"
18-331	"Chicken, meat, average, roasted"
18-332	"Chicken, skin, dry, roasted/grilled"
18-329	"Chicken, dark meat, roasted"
18-333	"Chicken, skin, moist, roasted/grilled"
18-328	"Chicken, portions, deep-fried, meat and skin, weighed with bone"
18-330	"Chicken, light meat, roasted"
18-327	"Chicken, portions, deep-fried, meat and skin"
18-325	"Chicken, breast, grilled, meat and skin"
18-324	"Chicken, breast, grilled with skin, meat only"
18-334	"Chicken, drumsticks, roasted, meat only"
18-347	"Whole chicken, corn-fed, roasted, meat and skin, weighed with bone"
18-323	"Chicken, breast, grilled without skin, meat only"
18-322	"Chicken, wing quarter, casseroled, meat and skin, weighed with bone"
18-326	"Chicken, breast, strips, stir-fried"
18-342	"Whole chicken, roasted, meat and skin, weighed with bone"
18-311	"Chicken, drumsticks, casseroled, meat and skin"
18-321	"Chicken, wing quarter, casseroled, meat and skin"
18-488	"Chicken, meat only, average, raw"
18-451	"Chicken, fried, meat only, takeaway"
19-118	"Chicken breast in crumbs, chilled, fried"
18-346	"Whole chicken, corn-fed, roasted, meat and skin"
18-345	"Chicken, corn-fed, roasted, meat only"
18-343	"Chicken, corn-fed, roasted, dark meat only"
18-335	"Chicken, drumsticks, roasted, meat and skin"
18-341	"Whole chicken, roasted, meat and skin"
18-340	"Chicken, wing quarter, roasted, meat and skin, weighed with bone"
18-339	"Chicken, wing quarter, roasted, meat and skin"
18-338	"Chicken, leg quarter, roasted, meat and skin, weighed with bone"
18-337	"Chicken, leg quarter, roasted, meat and skin"
18-336	"Chicken, drumsticks, roasted, meat and skin, weighed with bone"
18-344	"Chicken, corn-fed, roasted, light meat only"
18-302	"Chicken, corn-fed, raw, skin only"
18-313	"Chicken, leg quarter, casseroled, meat only"
18-320	"Chicken, wing quarter, casseroled, meat only"
18-289	"Chicken, dark meat, raw"
18-290	"Chicken, light meat, raw"
18-292	"Chicken, skin, raw"
18-293	"Chicken, leg quarter, raw, meat and skin"
18-294	"Chicken, leg quarter, raw, meat and skin, weighed with bone"
18-295	"Chicken, wing quarter, raw, meat and skin"
18-296	"Chicken, wing quarter, raw, meat and skin, weighed with bone"
18-297	"Whole chicken, raw"
18-298	"Whole chicken, raw, weighed with bone"
18-299	"Chicken, corn-fed, raw, dark meat only"
18-301	"Chicken, corn-fed, raw, meat only"
18-303	"Whole chicken, corn-fed, raw"
18-310	"Chicken, drumsticks, casseroled, meat only"
18-319	"Chicken, thighs, diced, casseroled, meat only"
18-318	"Chicken, thighs, casseroled, meat and skin, weighed with bone"
18-317	"Chicken, thighs, casseroled, meat and skin"
18-316	"Chicken, skin, casseroled"
18-315	"Chicken, leg quarter, casseroled, meat and skin, weighed with bone"
18-300	"Chicken, corn-fed, raw, light meat only"
18-312	"Chicken, drumsticks, casseroled, meat and skin, weighed with bone"
18-304	"Whole chicken, corn-fed, raw, weighed with bone"
18-309	"Chicken, breast, casseroled, meat and skin, weighed with bone"
18-308	"Chicken, breast, casseroled, meat and skin"
18-307	"Chicken, breast, casseroled, meat only"
18-306	"Poussin, raw, meat and skin, weighed with bone"
